480000,-60464,1521419,286201,2864511,11863674,-2560863,-2465645,-5376604,-10403513,3519212,-6499965,11661548,2772160,14712107,-434779,3589475,-6571400,5533463,-1422886,27395971,-6375080,2774638,2695892,-26511674,-6494623,12335242,-2895811,-4438496,12464241,-7954464,-21106066,-1747907,-6520777,10104787,-1907521,-3296603,2455198,11355755,-5321128,-9284978,-33466450,10113389,12650201,-725477,-18962612,26985739,7018777,-15363180,1044270,1189291,11543012,-2688893,-3639070,-2378725,11303652,-24763098,14265204,8334074,2530738,29686514,319490,14868338,-5648543,-17205805,14905418,9198376,9400185,-4032234,2356691,5480410,-9700093,1012131,-6362728,-17566147,21571072,-2414190,13966728,-13702532,22998985,6669541,6278618,23144793,4925261,5483598,-10672518,-24948755,-26034532,8383309,-97524,-9821083,-2877322,-1601301,6583562,4023274,-2542502,2978819,-17947386,48060016,2382168,7794545,21866522,-42625463,14825982,-29320520,11768904,517381,8750803,11439928,-54964467,62448587,3433545,51699022,-12846693,22850233,17030317,-13159388,10605861,-9784530,18752491,-34216815,7651522,-8339617,-27165350,1859688,36283623,10370975,16547038,46770000,-25912090,-36009265,-9873161,-3942430,-15317392,17793971,8765652,-41553647,13677851,-16045608,21616127,8287340,-22543357,969493,394067,7485104,11171317,23010551,21714447,-18615042,-220085,-17929835,-3576718,15879136,-15232888,27506501,12847394,40562455,-13661732,-3030874,21896386,-49860297,3088956,-42971004,4179110,9551167,20636782,-8953279,4763342,58136713,-16027316,17648635,-27515502,-1779506,-30305999,13451807,-38842522,-21287187,13754329,-29284458,-29141136,-19685538,-23322732,27552755,15407836,6944881,43529381,62615746,2880559,22461682,-4531667,-8801608,22386940,38725805,-17730815,-23071190,-34741044,28070234,6026692,-16568142,13493296,-27639734,14885956,-55244783,-9751618,22805981,20812968,-21105473,15353464,-22631786,965563,35585049,-41281386,1947477,-5369553,8754091,11042422,-27940520,-7050886,-21714785,-124242,-39972959,10157181,-7314389,51511,-42050615,414462,-7374970,-5495401,15573816,9680527,-36592880,1342605,-17943410,-2455298,-722456,36411270,4569099,1895322,-17223141,224062,5839011,-4822739,7164411,-9550644,-3503708,-12350171,-16973502,-25634801,-23725170,-3839973,7492653,-1137092,-2239789,8020765,23946659,16860860,-19700000
-1990000,-1183592,-1752828,-1604915,5772777,-12827931,2706429,-2026513,-2790501,-2153016,125319,18221013,290083,5953638,14121775,5257456,8698698,19604844,-10351826,-4892189,11838190,20635380,14561961,12519275,2511024,-17401698,2880900,-1820459,-17175543,-9323363,13110742,4977493,3831960,26547682,19677180,716449,7685341,-5702884,3262179,4885248,59792,16049127,23979626,2896247,-10553144,8707287,24372582,-13019348,6547065,23265707,-25155880,-10900889,12563097,9971880,-1221841,12625922,6322380,-11207410,7987706,2825052,-9684652,-12449112,14834011,-5866533,-8920613,-28374999,-1794820,-2241403,36130191,8849880,18081712,10134207,-28270567,24124953,-45941963,-37711799,1865253,8687209,12995410,-1366873,-5161860,-18331876,13363483,-8621031,14391499,-27516873,-8519350,17463186,3727231,-26722792,11126514,7371191,810360,12260700,-3447290,-8380549,-11355856,-24422903,39437438,14653789,-6301567,14397099,-19056939,-734874,-34477220,11475820,-3579947,3721367,-14875571,22851560,50974894,-43325169,26898535,-1743815,30339765,-19630554,33195088,2492725,-12793394,1088776,-29982482,28535044,37311604,-8046126,8843415,18623564,24002060,-5790536,14760000,17525828,-9176694,-13206894,8583601,11257578,8057704,-11342038,-20492216,-20117510,-15958066,-12299465,6675554,5079406,-24598195,-26936657,30247121,15862839,-10018702,-17949594,-18590207,-17835573,427983,4001258,8017524,6034548,10650319,-5683593,14235925,10780039,-7621488,5249493,-22974668,-10530617,-37216214,-15839678,35255778,-26511571,-31152690,-25735434,45752085,-5090416,22118534,7854143,-733349,11963779,18690767,-5916686,-47214348,-4302903,-700684,35419741,-29044413,14854997,9450785,28620985,-26163759,-48593849,41642816,-32433064,21568779,-51259153,-24152808,6546915,10920613,-17183867,849917,8521728,9735326,6164640,-1820130,5220324,-550246,1156388,-50209197,56452066,5333991,6648451,-10992286,23424549,10276983,-33388142,10219080,53340717,2357546,-14041269,43569102,-7828661,56896604,12223458,-7121159,-2503680,-56962843,-25368115,6077828,11366356,-17741436,-11947755,-5373268,-14757141,-19356875,-17196943,-15470204,23909920,-23697056,-30495069,12112099,13296770,30806044,-14121545,-11970486,-16431734,-31252194,-24340096,-7747073,5514238,2761523,1065143,-12708307,23884454,-18942593,20698915,-12000201,-10078149,10498803,-4333007,-15096294,-21068544,-970000
500000,1986389,3167263,1101441,7025342,18384667,-4295910,5617194,-918627,13899214,9069893,2829062,3235941,4124723,11436304,-5279634,-2584517,-21478765,-26831700,12032672,1743143,-8293077,-8488540,-10634633,8715936,-17113185,-12996878,15369708,-6385211,-17675311,21311988,23160811,-1056186,-11067492,10819018,17547031,10329458,22968251,-5286404,-6706534,-17248233,570271,16621546,-19676160,-16299612,3118875,10722632,16207486,9020411,6459061,-4436675,-6662534,-11521726,8596116,10189487,-10167886,19628367,14554941,-8800553,903196,-5658419,-2656089,-5045413,10499201,1243169,8691341,-11374263,7599119,24313133,2355025,18829867,-2006612,-38267376,-53153599,-20348834,5892565,10990084,-428891,41754165,-5992823,-27949514,10768074,15810537,12259918,10619424,31743556,-19250171,3024311,-2939392,-2335382,-20229099,-20634323,-10045720,-3265663,-19375095,-851297,20947518,20854710,-2354,-25905120,-25288253,-6908674,-43005256,21832633,-5337979,-9012789,9330261,-17212802,14893052,-30355517,35467655,44781238,-4956228,10274596,-9643045,9028787,42969174,-1935534,6950181,-1133043,-306923,-38458993,5642534,15524623,1554895,-3362524,8221573,8031440,-6150000,4796212,19706221,18788786,14916863,27997675,-16125826,13290147,-34126561,4846483,29863131,463412,41329974,8337655,27369985,10940060,988716,-29902258,-7608517,18105245,-18852510,18316204,18552393,-18172053,39406779,-6814595,17470146,-55241866,-35063359,-4453246,-13490828,1398850,-3807998,4830745,10467047,18609411,5102136,40730811,-9038983,-2973198,-2221488,-33924821,52902039,18257768,4013250,-221774,14898261,-5551378,-8497758,-15743661,22942079,-5558867,-14381224,-34683125,4762908,-32628477,-22437740,7770472,-7312227,39000593,-68525211,59768109,21438743,10774103,9176831,53225475,3689405,-12565427,-30613267,-42233838,30093129,-5680385,35859765,-24691938,-31008089,-19577436,-34000250,-36977908,-27211405,-27025397,28376669,15988954,-426338,-20482439,7367510,43697648,19081746,56157619,106617905,7442306,-23869866,24304633,-61681534,17015353,17599230,15167488,2356666,-828055,21951570,3309841,-44634837,11118892,25516620,4040259,-18318088,5880799,4105070,-42571825,35940663,25595860,-3230786,-10905471,-27117779,1009918,-46358688,-1720029,15606467,-16327124,-3921117,-8380642,-1226345,-8381884,-5050494,1837379,4920624,-7244927,-5131273,5941519,13760000
20090000,23333214,22953886,22165735,26260608,17352251,8504519,29714259,15233280,20797933,57072872,6984593,31538210,36608735,28942035,-233533,12478055,5736324,9760058,14468709,19420385,6290747,29264225,-1563445,3172405,90400112,-7657416,10943247,20281626,29485801,16687969,3284143,30175228,4520403,31898188,-12392965,17745038,1039757,17813530,6237085,10970429,28098845,42754732,17553508,7277139,10164217,18123478,6674210,7895633,12461473,24504923,25979387,-11170287,11243865,39251922,4220113,41217134,9173826,29456355,19945533,33873858,27956783,36376762,16061969,28564888,31716245,32841632,45150475,47529005,34512442,25894658,20519473,1605383,72186033,37039080,39067888,24749632,43279575,67063179,23477759,14265985,31934463,39729050,28803191,26187626,44513530,34225927,28921664,32957003,58497442,20598729,27681824,21113116,35051865,37597571,50950395,78546868,29380138,49818530,46175934,25020597,-6345004,-23843434,-5450038,8488155,33474777,106344806,123717957,168496048,115673776,114824445,26648333,19216833,-68891017,-112280278,-24613202,36057777,-53581935,-93804164,-56171854,28437945,-55880041,-140807131,-21414475,3293606,-58788052,-69335706,-23569269,23770000,8339477,24941762,53524948,40610726,-18700313,-27211967,11867151,21099405,8474054,34074940,-53739471,-12335507,-14534500,38829878,-62739321,-22386469,-17240419,-58974949,-23096966,-21568840,-91716805,5745548,24793319,-36699003,-23354520,17942900,8692964,-39463841,-51641498,-56455446,-35336332,-53924260,-20509477,-8536993,-40164735,-41458816,-46268276,-15861225,-19808378,35003249,-4435234,25051445,-12566492,-16731744,-66072015,-7262638,-13455751,-37129669,-8382345,18877959,-53067445,-45147582,-3305014,-19886098,6908361,35026187,-40153237,-40817876,-69012640,-67371139,-24887199,-33104510,-52528167,-26984888,-81712591,-66110852,-42593299,-20938660,4150493,-43750701,-20732734,3805868,9431277,5365040,-66487211,-43375879,8959475,-9648657,-42847231,22493483,-33597466,-5386294,-17149785,7215215,-21529562,-40535216,-22508527,29288011,-24491421,-78341602,-30373345,-28791634,-56152933,-18618930,-48270297,5082164,-27759125,-23312129,-10537589,-49411134,-15086047,-16199466,-37137874,-53645777,-4631823,-29574403,-22616467,-23613085,-38107479,12857730,-11127094,-29953851,-10436593,-46131871,-22660329,-19066868,-12618443,-8834256,-16535061,-35319674,-28180673,-6146257,-10823083,-22145196,-4736999,11320202,-21521014,-5270000
-107250000,-107385229,-108224997,-105344720,-102477250,-114557566,-119118544,-116629184,-116620742,-91897704,-88097197,-121855213,-97577832,-102117760,-80428124,-115127373,-111745974,-69745613,-97384623,-72421131,-104638708,-86179002,-97841678,-106092557,-121173548,-162362628,-128939153,-91932918,-111293458,-85485306,-154124307,-113089764,-100984644,-141426251,-92833100,-71843067,-108707185,-109500705,-68031150,-111271936,-100591586,-91666581,-113824391,-87940579,-146897786,-110846214,-103359179,-110434644,-148050005,-131538190,-124792684,-133240391,-111274680,-105306470,-86817309,-137497532,-167594234,-31023494,-104093792,-223864451,-81523473,-289508549,-78566830,-186907519,-246865003,-122047199,-232995806,-164838854,-167452460,-174102548,-180649428,-143918502,-208473631,-192319781,-192917581,-200924995,-146699811,-206978156,-175004269,-177729980,-219286122,-186739556,-197332961,-189510629,-273478194,-310771058,-261028901,-293900594,-377683745,-322394266,-136020878,-405586600,-631459781,-692034495,-712832486,-919361357,-547958260,-412870083,-168479556,122262862,641748815,156799133,-157457842,-719457626,24563352,-985579284,1938520259,5215582088,-701309992,2083146926,-4179449295,3899183747,3711897631,1752392511,3683440014,-2110162999,3199046118,653501782,683503355,-512467498,564073907,219812592,121102140,324521782,98529904,1762789085,-1136469221,3046768927,-984600000,2462773135,-1417221539,859431519,2259732806,-672908902,2602711240,-4012218808,741319367,-1579165892,-893449355,-1587734008,-688554230,794151879,-387283786,-471953099,-187230851,-277764001,253988399,-101927344,326113432,406599672,107179437,77962048,-239122498,-141550302,-106433586,-139341623,-184673061,44075290,54965686,74572207,77297112,-5308607,859540,-32733113,-18673975,-984130,45590948,-2238976,-7301317,-32937702,25693343,-20039884,-14736510,-11487911,8585507,-24667004,-26644994,-21127942,33044161,-25743564,-52634629,-39355601,-49047681,-54199419,96621393,-42460742,-49314058,-33740452,11501628,-3856476,-114644496,31826717,-112614997,24742201,-118150952,12098507,44646413,-85832253,25659214,-110127498,40954672,-89793824,22995211,-62032602,-11444868,-48934137,-15475412,-16946448,-37050903,42248916,-25765111,-31393562,8123758,-58996607,-78620627,112323685,-197731168,-55261418,59833520,-318143025,580173945,-1166825429,1635795382,-1723662461,846365792,456639236,-1841219439,2486891410,-2397786324,1536143036,-570409979,-236056232,458648686,-532936967,392653462,-276593998,166744944,-152812663,35278391,-24870261,-54688782,-35485479,-41062772,-3326392,-29293364,-18192453,-23254443,-14766366,-71808908,-3211860,-38588828,-31343002,-30894192,-55823448,7018137,-35810705,-16110000
467060000,465759116,468710470,473655600,465611810,491429235,461568218,464693488,457743144,447078406,479367325,495901658,509723988,425301697,450540335,527759085,477278791,500476442,499836204,438766590,497872677,465171404,469285745,512788593,470486825,490522323,479896366,437645099,453065325,482530512,432185191,524922207,499775814,589747106,492002701,530562879,524586158,548887655,581946253,545628598,505799216,483801480,502971114,545036268,513193204,548213197,559277635,546962027,558683109,581752501,597141183,549525429,647844791,518168463,681740313,651228755,559139297,598406641,579728996,722164434,641151575,781799318,691059249,693886134,350952231,579933643,471678277,623674161,591035635,700043988,691791798,693424101,673391466,774129824,716845208,745015187,803288869,798100504,817805322,779777892,788202188,889543767,1211648386,1117667462,1191262442,1430817536,1113367356,1204353792,1253743499,1733160510,1626449119,1187616847,1493830665,3222837784,-120999269,-1595737073,1002912254,1804122116,83528109,-2744051308,5400398636,4328472311,-1479093928,-2973450343,4599065916,5925838874,11209948438,-3563605591,-310446852,-5632051738,10208417108,-6694041024,-3754951624,12704176519,5174756138,10849664557,3284588475,1826266254,6315398428,1205371160,686237958,1648825548,-883556137,-5508554303,-726368305,-1563496521,2006370465,8623879684,-6788770000,-7508122898,-1208291697,-5107268021,570706653,-2476155447,4304721375,-176656222,-1146381518,3270086518,421814160,-2172499336,-2934459203,382106717,437508560,520261135,162339388,-1551905114,-2538069604,-2408241466,-1843161390,2136730711,354801942,-3123199108,-2720519814,-1784217061,-5840935554,-6753377995,-4454660592,-3775920132,-4023585427,-3587168570,-2203676630,-1533283803,-1348319111,-2028421468,-2087207819,-1248203169,-584196921,-497326668,-621748309,-806361732,-990619858,-1031212674,-1052348340,-1046597712,-1097364692,-1091208857,-964219288,-832428206,-718656714,-721888550,-790021103,-776819389,-869711536,-855788498,-715436958,-827239603,-826784948,-797035578,-802960663,-774394461,-806878169,-767082415,-751572231,-664311222,-695030821,-607349658,-592789979,-608842592,-543019962,-491825887,-472229333,-469618381,-572197773,-482174425,-637691445,-509427931,-548643759,-572556367,-611542641,-726917425,-621654305,-583998367,-527148282,-441760430,-530769968,-799437604,-785781726,-403170592,-248571679,-531211553,-52280956,896078669,1357407543,1275391330,568628562,-934894321,-2458893921,-3118696856,-2851797145,-2142155371,-1133698704,-366454839,77945737,50945929,-125992217,-217027976,-203496867,-352491870,-406009764,-312171616,-377629923,-367666791,-358765473,-385167495,-386061572,-341960524,-349433157,-368506952,-415215400,-427250602,-395693732,-387402985,-413980390,-366462770,-355996230,-416721914,-379560000
61950000,63981635,61483026,55310345,61158435,37301212,92881744,65365791,52128205,76022934,77878498,49051467,141323403,64138177,59792851,49310021,74738075,-18783632,78377977,90267544,42144463,123684615,64436166,77179105,28852115,81860784,84418633,131674091,-16727682,51326874,64796879,59760304,94031479,49660645,60084168,51789241,58670260,16842475,29899965,59216421,-4637587,97494202,24372566,22263786,71147609,98776352,54728407,62565410,-104733564,-96440929,144906708,330251682,523789651,451391836,316453222,90716146,175051141,265854448,253603006,90410718,-12741577,93508956,217852934,157352299,-269089092,29340905,14755621,39912511,-61014905,23044501,131233713,98991906,81139777,-67443115,-120217538,-146033353,-173927258,-93384918,50448113,-298960579,-432110590,-662928674,-52603571,-255758145,-357000187,-476927345,-260670224,301728507,1013346137,-1468736740,-421340384,647439947,-1637519616,-9699734874,-3900435298,-293699607,-5301903187,16324345468,15615206106,2876868150,5857720991,857854954,-944187745,3003929251,19631042762,-2767679807,-716540378,4014280647,17667197022,30547947191,25759649990,18398090501,-34715185615,-60526217721,14795675069,8886514061,8517636814,-21921394141,-16914802080,-8407849651,-12531289152,-7608717957,-8090553082,10101167533,-10631956559,-7946033026,-14727164424,-28734801705,-28869290000,-2916670737,10125714892,20859659058,1116424523,22596376427,13995719742,13219318577,13815357146,21187098779,23908590408,26364888269,5419917550,-8366150271,-14803451759,-18459445585,-17735620633,843343043,-7528875812,-17332709115,-6226769056,21629206013,21373198678,20215115387,17830015106,-5872919577,-1934632669,27920532984,2108943805,2084272766,-9347084748,-7331046462,-2085951163,-9514063375,1676784662,-2803289280,-4545590244,-4508496185,332655692,317835104,3677809657,-375999985,-2647343588,-2706054401,2130837581,3612530605,655772515,-3436749642,-4841669594,-2107912885,570282291,-104142892,-1084396320,-1210209525,129727772,813845297,124672719,-381833962,-728100623,-339455131,-388671199,-514797003,-501327347,-250164267,-220270908,-529922381,-597552156,-866826716,-526587555,-285774788,-352297708,-363046704,41199783,-42162132,-617861284,-1516934982,-1179787917,-192888460,-310865256,229287677,392572956,691965438,418976381,-466554204,-887036159,-660816832,-432541782,-570013988,-807209755,-327894001,-345399741,-51310617,-584099628,-272707479,94506084,-315376959,-59457129,-27325606,457294811,-492361366,-1177823838,-308454057,2863909553,4662887646,-661788347,-3106299445,-1949902014,1211973109,1989673159,673266780,-1225927679,-2051674524,-2302711035,-2205242671,-1524645297,-1274958115,-1393775091,-1794008747,-1806638038,-1577450058,-1145209707,-732889835,-403556688,-294453488,-345320475,-461559437,-645069930,-893364717,-1052970000
317720000,314641601,311710756,307110633,306397851,292157198,341625385,329259806,319526510,316143439,344566655,345234802,277562421,255170772,301345455,435138726,497243319,296559605,403361710,278061098,256857414,328391836,338876192,343871231,320024141,349580694,358135998,373454299,343111592,402153206,434463845,414945380,446194866,296102955,398970807,339503669,436491449,492127198,428048672,482955745,431973356,470611070,407551711,531593055,479162254,447046097,543956757,606073840,701228776,1256010162,1428574471,2001668070,1908064156,-598648948,802009743,1326839345,1346038230,1441982770,2997123447,1568903059,1036114195,1121549634,193578160,-75062907,-40995572,591765167,957941862,569009649,539337859,910854867,1122286045,274546228,749432551,871133422,-317434372,-242877832,-852439235,-3770445385,-875341927,-4155634247,-3756446710,7534795304,-4422299881,1053294617,1606305025,1953385318,-1275743842,-388766390,1683701887,-70696011,-4101881805,2540307734,-262930619,17116017663,3921483614,10744881262,-1676705286,-23072695306,14156843161,-4428940965,-5205830414,33081424951,11914759701,-5809171648,26891781517,21523521336,16460987382,31661514814,12799168489,-493350021,40413285481,-4816029900,-46790329881,13533805201,21386445008,-1517780933,20249858731,-8816296105,-28156986855,-10037856517,-21137388264,-2105802381,-3469214129,-8364567523,11615801378,6939364461,854042049,-4935912658,-14136740000,53048253242,41951005871,-36424793793,-18002115612,-7284470759,32441260849,53837757269,11638824510,14884150369,43324602161,-25991199873,-4753145215,22017626293,-18395145640,-52920459911,-60322868299,-47242873934,-68623562373,24807349661,9776724683,-32418379316,34820192400,-34696332002,-3657423375,-7336083330,-23315069513,-31595251367,1278993764,-4208903823,-28648894941,-16195645422,-2059255646,983891764,2600237940,-8155133891,21903110301,4227428768,6308327345,8835076133,-6021619133,-11197116418,-639987152,6837593490,12266205467,987575405,5608267847,10289666028,-13011195142,2585770871,5527604529,-4350817977,-7430722501,-7706914236,-1545158698,-4874112160,-3321337117,-3867321920,-2182572649,-4171897467,-3578316933,-1700940669,-1091810700,-2514085281,-1054524428,2142047997,4955331954,4046319714,2176176495,2370182189,6788847357,6540000514,3810403588,-1738454255,-3377180825,-498079200,-2259371428,299069416,1442962891,3231489566,3495866668,-690901948,-1823854475,2426097325,-4342513402,643761097,3273428567,-6017980166,-11533634930,-4740979911,-4247132544,-3264543952,-6748586595,-69030141,-8908928825,-198052105,4621126066,-11464506480,16016822079,-1567722638,-3779220230,-7287692871,-1765431726,-11720178664,-11752071599,5146464507,-168702898,-4922754774,-8664913210,-12720388038,-3919299090,7054418053,-6970218731,-1425712872,3900512485,5084480800,779932607,8479999664,1235131703,8581461445,3593848128,5791659170,8393360079,1482608588,4402489263,6180330203,3195524736,110534711,9286480000
-921520000,-923543181,-934863276,-912314719,-919227257,-912625113,-988047342,-912946190,-904518360,-894244962,-923481048,-985337849,-1134376623,-581959874,-959579918,-1022319142,-692724190,-982056692,-863211478,-987671223,-1032060379,-1004022226,-923632416,-972464420,-972460131,-944296059,-925575290,-862123106,-723060470,-997849085,-871834469,-926369699,-728502648,-806021035,-941526570,-842659852,-842178635,-903734386,-794086795,-927838704,-780113687,-864437707,-928074607,-775601693,-1510074058,-1092644820,-1548141730,-1586436064,-583910753,-2666573325,4581361835,-11040923153,-5511222967,-7432024099,-2989410001,476757249,-5776812484,-3929177596,83137845,103785132,-1258877232,-7024032992,-381249889,-626291748,-638657702,-2700596063,-2718805312,-2021866979,-2242619270,-1973609756,-278881191,-1700552450,-3596135819,-2787847882,-3756468708,-4335458295,66266232,8169912999,-6883351524,-4347101558,-18797579257,-3030953839,-22709492275,-8781665148,2688528989,1538246219,-4318056006,-1942755500,3570284037,-4429714024,-4834055717,-5635296154,7482759315,-8443476939,12132963868,-18037005312,-7161651788,17686800191,-12557436106,1404775334,-14143832884,-38457543675,40229975742,-10201389033,-28810761946,-16303356530,-8114550381,-35503013614,15307139963,-19424516041,11072709777,12588697292,5773793056,27755761566,54259779275,-16597371023,7490108928,-5303240135,-28576699155,11962268090,6947487168,8458462447,-34371593456,15821350665,60522777612,6877200802,78986742318,16283903984,14532920000,20958397616,60186153854,-20805446388,-44053382820,-21381511833,2551826238,-60508518761,-24050907682,-27749697794,41373107013,11524034019,-112631379458,-85744107295,39660110951,165240871178,4011647316,18767120462,-62326502935,42962594683,-26753824867,96706991528,11960909485,-12408506082,78174573976,-13026852247,-78410700144,-25687897509,4347477276,-26728783782,-16166210966,61933439869,-2798484020,-14839505648,-15712838394,14752355891,28888750583,2101055154,11186775753,-6785812838,6317532233,-4033174736,454452036,-11577642053,11006395169,-28482189974,-4890314731,20850198929,14161714165,14933495554,-16271028,-17846476075,570574684,6472217661,2197343146,965410134,517370349,717535458,1220319045,90810930,-305003708,-2868802961,2821836972,-14513035449,16874257702,-2220414840,12671304737,-2200540280,-4600011834,-2311978646,13261986925,-4655479580,13443535478,2864371351,-4746668941,7391727497,22072332763,-11667635735,-7176984811,3487196405,12169327261,-13751456802,-6187547468,-5733691394,8316727524,-5069998513,8196805485,22106275351,-17674046971,16332652770,49980999,598717826,-7190733843,1252513496,-7032793588,-822773721,9555278456,17681707403,26645289049,-29265619151,1306651394,7631470098,4547733436,3319229167,400791585,-17558345296,10582823452,24231380472,-28953688117,-1516405571,7477149640,21417778042,1665332402,-4472124326,3445581412,-1287952740,-21532103815,-9036175863,3617447414,8466587278,3968102254,3899990072,10115328480,-4656759563,12043647805,-2543556059,-7562078516,1640011905,17228320000
946950000,947568199,935139822,947563784,936350596,959471740,847934434,950794492,956396184,973872971,893904762,1091509867,740861482,724112391,1133247362,1117232543,868255341,921832102,994087701,1223314788,709004197,960472858,1120799207,985240942,868102308,927348470,968787982,720634814,1138260164,988128425,1148280373,990282989,950296147,1036906173,948832437,923230550,831391180,845473339,872267976,923729350,685169394,1198687973,559574238,266185305,-1121045302,1546122338,99525030,2690021285,-7727798437,363592066,-2131817288,14525393943,-3344287782,13896473725,2128214869,-4342515696,-4501750307,4733256788,3198599852,-314914105,3995842553,8920668681,2613263964,2302083168,2112107518,2830324894,976195957,3593454173,1704385754,1340232921,2765637174,1548577346,-283028884,359716437,2692211011,2667078574,7746350298,-10561764,2207869739,18499983267,-32964633883,13060250092,-38376502662,-618861647,-3842167468,-8376009782,-1136952794,-5784000641,12921422559,10067543988,-5470743105,1934549870,12528766432,2261183315,3972784293,17044777516,213003525,-3076859641,20004941733,6990961471,-3521758911,-9405521601,57496798462,-7150899394,-55515687965,3804357287,3503160928,-45190730800,62142355286,31394950119,18346839709,10385761075,65714082061,111062388527,857071543,-30016203370,16415774807,44006178302,-42660364587,-10947024175,7006689039,-10507565518,-60459937621,10017464343,10440446874,18517476499,-18105458699,-50678631451,48971870000,-37046610111,179019963141,9331110185,15487216512,-6709875787,33104945111,-14796616550,47319383015,75055503433,22325548375,-34152208338,-111519232591,1574408576,71173463403,-83303009077,105646775089,-4089759277,13102295515,-36938360685,-147950315406,-134671970430,-61530709966,9489444959,-13116747067,16040792114,-32241122000,29846597325,-3499037127,61790848687,8307755365,-35257050845,-49531558051,46087665582,-28129007699,-43477096425,-5648629458,-6728639386,20708640063,-10743461344,-4317969033,38198155007,9293525984,27283936234,17969160894,20888470867,-8320523892,-32152805090,25330760365,-19799285271,-4688870911,20822819144,6566642054,-1290005038,3007778033,1381922571,2443006232,10210714390,-3723918054,-7692421609,21265269980,-15470911303,-21752167035,34264211676,-9193827518,-15525319138,4765449166,-32417096983,-19682066071,21618602449,30583147176,-3294241184,15614312807,-3798497452,2512256071,4919913243,22617998994,15738345057,-17849372536,-17851111398,-26262838177,-22309388831,-21793983160,-7687706514,25838899524,22451674399,13977423660,-26008162519,1834636848,-14546588062,-4388799318,10804949193,-8900435022,19458885328,-1147139171,-7933422167,33665418379,-10113110423,-15582491083,18433716433,-30932487450,-25428853578,-24734314004,8454958006,4062072124,11597193816,12734702879,-22579159920,-20748396925,-2896920090,-3476398041,-31487220700,11395797641,10218215087,16010985688,2635651967,-44539623406,-28471888423,16116266450,-19450735505,9812312746,-11731516636,5736382032,6742628264,19243305338,-3252224468,-3251825044,5703240075,18164670000
